n,p,r,s,Dinic,EK,MPM
2400,0.6,2400,85275293651,,,3.19554
2600,0.6,2600,365098131428,,,3.94961
2800,0.6,2800,744983717190,,,6.21517
3000,0.6,3000,239003679453,,,5.57224
3200,0.6,3200,309703303858,,,7.34874
3400,0.6,3400,761913978496,,,7.95286
3600,0.6,3600,88216118385,,,13.1295
3800,0.6,3800,944375793052,,,15.2348
4000,0.6,4000,87051456390,,,14.0257
4200,0.6,4200,765557280031,,,16.0912
4400,0.6,4400,940981950339,,,20.8413
4600,0.6,4600,352513795540,,,33.1779
4800,0.6,4800,926655113016,,,26.0269
5000,0.6,5000,751074793209,,,30.9415
1000,0.6,1000,200155721399,,,0.353182
1200,0.6,1200,65444039555,,,0.432942
1400,0.6,1400,146337817524,,,0.566636
1600,0.6,1600,250202080090,,,0.956314
1800,0.6,1800,228629693083,,,1.52523
2000,0.6,2000,968208066599,,,3.46817
2200,0.6,2200,621749977081,,,3.27115
2400,0.6,2400,578834630254,,,3.04262
2600,0.6,2600,573734527679,,,5.23881
2800,0.6,2800,562020314198,,,6.75966
3000,0.6,3000,21928217456,,,8.18402
3200,0.6,3200,606007236633,,,10.6084
3400,0.6,3400,989769288352,,,9.73626
3600,0.6,3600,464383105041,,,16.6796
3800,0.6,3800,953630526847,,,12.8447
4000,0.6,4000,781050543903,,,13.8163
4200,0.6,4200,746747631397,,,22.3194
4400,0.6,4400,417560343226,,,25.1562
4600,0.6,4600,953366244988,,,28.0711
4800,0.6,4800,292452864097,,,38.7947
5000,0.6,5000,407444909402,,,31.7026
1000,0.6,1000,236260111543,,,0.320918
1200,0.6,1200,156376598529,,,0.316809
1400,0.6,1400,303626799753,,,0.785448
1600,0.6,1600,706387132990,,,1.4388
1800,0.6,1800,768231029217,,,1.12363
2000,0.6,2000,648249715019,,,2.70151
2200,0.6,2200,563469914483,,,2.57472
2400,0.6,2400,804543005419,,,5.05303
2600,0.6,2600,383223944745,,,3.94146
2800,0.6,2800,700652315774,,,5.77863
3000,0.6,3000,336063035686,,,9.73216
3200,0.6,3200,684151163487,,,10.3167
3400,0.6,3400,357645637436,,,11.7176
3600,0.6,3600,752564945877,,,18.1104
3800,0.6,3800,739362783674,,,16.8376
4000,0.6,4000,616378805710,,,16.8362
4200,0.6,4200,516175441557,,,21.6571
4400,0.6,4400,1244091197,,,21.9484
4600,0.6,4600,74843077475,,,26.2526
4800,0.6,4800,501459983348,,,30.5987
5000,0.6,5000,482890446745,,,39.759
1000,0.6,1000,16700771717,,,0.340709
1200,0.6,1200,522343913900,,,0.645172
1400,0.6,1400,995617291943,,,1.04466
1600,0.6,1600,68467015061,,,1.21363
1800,0.6,1800,705874250104,,,2.39939
2000,0.6,2000,145079305205,,,2.46603
2200,0.6,2200,471148197947,,,3.36219
2400,0.6,2400,630161888754,,,4.63542
2600,0.6,2600,40205351382,,,4.67829
2800,0.6,2800,617313265421,,,6.11281
3000,0.6,3000,821495919261,,,7.27983
3200,0.6,3200,40310123630,,,11.7009
3400,0.6,3400,259047650088,,,12.4066
3600,0.6,3600,770178558087,,,13.4157
3800,0.6,3800,155352657199,,,15.0742
4000,0.6,4000,224442755226,,,16.0697
4200,0.6,4200,747471642135,,,26.6095
4400,0.6,4400,52619601413,,,23.468
4600,0.6,4600,660851344324,,,24.3337
4800,0.6,4800,447549917182,,,36.016
5000,0.6,5000,554502292831,,,40.5569
1000,0.6,1000,288734934388,,,0.251148
1200,0.6,1200,352213401093,,,0.356852
1400,0.6,1400,603190699481,,,0.53413
1600,0.6,1600,514132973046,,,1.30891
1800,0.6,1800,289461349490,,,1.88121
2000,0.6,2000,909896945150,,,2.73426
2200,0.6,2200,452251698729,,,3.81715
2400,0.6,2400,746329820313,,,3.20956
2600,0.6,2600,94962332396,,,6.09057
2800,0.6,2800,325099612494,,,5.95327
3000,0.6,3000,292240243913,,,10.5927
3200,0.6,3200,588256760579,,,9.84971
3400,0.6,3400,921865986580,,,10.9328
3600,0.6,3600,151535139169,,,14.4269
3800,0.6,3800,352516633696,,,15.5992
4000,0.6,4000,254060383913,,,21.8092
4200,0.6,4200,869409874069,,,21.5905
4400,0.6,4400,212380284021,,,29.2351
4600,0.6,4600,95906376828,,,36.8584
4800,0.6,4800,312112488568,,,38.6963
5000,0.6,5000,504573241807,,,38.3516
1000,0.7,1000,351155482553,,,0.294746
1200,0.7,1200,735245891175,,,0.557348
1400,0.7,1400,693592660484,,,1.14247
1600,0.7,1600,92331869607,,,1.60245
1800,0.7,1800,431483801538,,,2.31805
2000,0.7,2000,538359588905,,,2.78356
2200,0.7,2200,544421492317,,,4.81507
2400,0.7,2400,930276673310,,,6.35549
2600,0.7,2600,679543119249,,,7.63072
2800,0.7,2800,333101786312,,,10.4975
3000,0.7,3000,707597097364,,,13.1064
3200,0.7,3200,912414086353,,,13.6649
3400,0.7,3400,385728693433,,,17.5448
3600,0.7,3600,731537372968,,,21.8296
3800,0.7,3800,537619319057,,,28.4666
4000,0.7,4000,993653360046,,,26.1252
4200,0.7,4200,202620775881,,,34.4888
4400,0.7,4400,597970339359,,,41.3055
4600,0.7,4600,330741514297,,,49.1
4800,0.7,4800,393009773437,,,53.0683
5000,0.7,5000,416305819350,,,57.8502
1000,0.7,1000,829846109899,,,0.48368
1200,0.7,1200,519181730385,,,0.850256
1400,0.7,1400,484269103730,,,1.44384
1600,0.7,1600,751112269924,,,2.53672
1800,0.7,1800,632394363574,,,2.78096
2000,0.7,2000,70197388994,,,3.32632
2200,0.7,2200,607999619191,,,4.35311
2400,0.7,2400,933019941985,,,8.57656
2600,0.7,2600,98000446015,,,8.06191
2800,0.7,2800,931627397460,,,9.24819
3000,0.7,3000,686488036333,,,10.063
3200,0.7,3200,952194949539,,,15.2495
3400,0.7,3400,429831593019,,,19.8851
3600,0.7,3600,233332791075,,,20.542
3800,0.7,3800,452357861465,,,24.9966
4000,0.7,4000,811320427626,,,28.8664
4200,0.7,4200,451699067102,,,41.1274
4400,0.7,4400,66557544715,,,39.7195
4600,0.7,4600,80672469482,,,45.2668
4800,0.7,4800,423520803677,,,61.624
5000,0.7,5000,52908536444,,,52.3654
1000,0.7,1000,501209573121,,,0.404217
1200,0.7,1200,953789315002,,,0.692522
1400,0.7,1400,201407234433,,,1.09146
1600,0.7,1600,482763124921,,,1.97017
1800,0.7,1800,266687936999,,,2.14467
2000,0.7,2000,967483012392,,,4.06248
2200,0.7,2200,93076116431,,,4.01595
2400,0.7,2400,268777861293,,,5.47072
2600,0.7,2600,700339541918,,,7.47204
2800,0.7,2800,978427319002,,,9.85656
3000,0.7,3000,261902285375,,,11.0739
3200,0.7,3200,449841956486,,,12.7374
3400,0.7,3400,382298946843,,,19.0422
3600,0.7,3600,108824071362,,,17.8876
3800,0.7,3800,120009680712,,,22.0364
4000,0.7,4000,668424641220,,,28.7621
4200,0.7,4200,371060048313,,,34.6557
4400,0.7,4400,165780081858,,,35.3765
4600,0.7,4600,988359950883,,,41.2305
4800,0.7,4800,793768046305,,,46.5145
5000,0.7,5000,549444284024,,,54.9422
1000,0.7,1000,547867831351,,,0.428191
1200,0.7,1200,420063349854,,,0.563681
1400,0.7,1400,248951230262,,,1.52537
1600,0.7,1600,918250413278,,,1.5753
1800,0.7,1800,32547440757,,,2.96567
2000,0.7,2000,356222339242,,,3.87574
2200,0.7,2200,71208310465,,,4.7528
2400,0.7,2400,923254473547,,,6.50567
2600,0.7,2600,584741997103,,,7.49637
2800,0.7,2800,495715625211,,,8.99096
3000,0.7,3000,561760183618,,,10.4059
3200,0.7,3200,831731459904,,,13.7026
3400,0.7,3400,566983527415,,,15.266
3600,0.7,3600,255349842663,,,18.7074
3800,0.7,3800,846999918812,,,24.6971
4000,0.7,4000,859882373907,,,19.9753
4200,0.7,4200,611084806875,,,37.339
4400,0.7,4400,856459447818,,,38.153
4600,0.7,4600,475824858260,,,44.201
4800,0.7,4800,120003081194,,,53.5333
5000,0.7,5000,384300631876,,,43.5993
1000,0.7,1000,872049407233,,,0.308067
1200,0.7,1200,723829016522,,,0.550965
1400,0.7,1400,172056773535,,,1.30796
1600,0.7,1600,748558035732,,,1.35958
1800,0.7,1800,635499018822,,,2.58335
2000,0.7,2000,437807034627,,,3.35383
2200,0.7,2200,361670179099,,,3.19075
2400,0.7,2400,412479680793,,,6.98685
2600,0.7,2600,346962044336,,,6.32496
2800,0.7,2800,867473303589,,,9.85049
3000,0.7,3000,847290671647,,,11.7423
3200,0.7,3200,23613269638,,,15.1796
3400,0.7,3400,748178668903,,,18.8841
3600,0.7,3600,372042334549,,,24.6945
3800,0.7,3800,462310339252,,,27.0993
4000,0.7,4000,691731699108,,,29.5514
4200,0.7,4200,317750653360,,,37.7603
4400,0.7,4400,820451746126,,,44.9029
4600,0.7,4600,676078382737,,,45.2351
4800,0.7,4800,770924066464,,,53.7767
5000,0.7,5000,598470492887,,,62.0416
1000,0.3,1000,611480132740,,,0.0996028
1200,0.3,1200,197493936117,,,0.37807
1400,0.3,1400,255832741302,,,0.98958
1600,0.3,1600,337846609445,,,0.598435
1800,0.3,1800,431441962783,,,1.26353
2000,0.3,2000,727375617445,,,0.81634
2200,0.3,2200,666834559845,,,0.958369
2400,0.3,2400,653177486104,,,1.83685
2600,0.3,2600,647510636745,,,1.62548
2800,0.3,2800,599136213022,,,1.97137
3000,0.3,3000,862200042714,,,3.62377
3200,0.3,3200,435158503197,,,3.04255
3400,0.3,3400,342418371070,,,4.03924
3600,0.3,3600,953869485057,,,7.6573
3800,0.3,3800,645939967289,,,7.79478
4000,0.3,4000,49514111480,,,6.05804
4200,0.3,4200,985369784918,,,10.3853
4400,0.3,4400,224230203475,,,12.7495
4600,0.3,4600,290561411679,,,10.3804
4800,0.3,4800,898969704098,,,19.1351
5000,0.3,5000,902985200510,,,18.2971
1000,0.4,1000,183230061398,,,0.252344
