n,p,r,s,Dinic,EK,MPM
900,0.7,900,199169951161,,11.0618,
1000,0.7,1000,374094542532,,24.5412,
1100,0.7,1100,605350008227,,26.9536,
1200,0.7,1200,846800646192,,31.0092,
1300,0.7,1300,217702644848,,48.8637,
1400,0.7,1400,551206266389,,66.049,
1500,0.7,1500,921781986987,,58.9562,
400,0.7,400,955085161432,,0.77684,
500,0.7,500,323641842893,,1.38665,
600,0.7,600,113647874865,,1.82307,
700,0.7,700,245581821787,,5.37771,
800,0.7,800,439753393320,,8.45406,
900,0.7,900,841521968532,,12.6272,
1000,0.7,1000,662117248508,,22.732,
1100,0.7,1100,244423483398,,29.4564,
1200,0.7,1200,949581040730,,37.9185,
1300,0.7,1300,140086580026,,47.173,
1400,0.7,1400,433645517408,,65.3296,
1500,0.7,1500,926766951903,,71.147,
400,0.7,400,819855134408,,0.300163,
500,0.7,500,751298636560,,1.14615,
600,0.7,600,564879455630,,3.89242,
700,0.7,700,682767399271,,8.29107,
800,0.7,800,994885801810,,7.70052,
900,0.7,900,382976649584,,11.4274,
1000,0.7,1000,462158903493,,24.617,
1100,0.7,1100,294920255056,,29.781,
1200,0.7,1200,58561701463,,29.0657,
1300,0.7,1300,90738915495,,50.6298,
1400,0.7,1400,980264206161,,72.2463,
1500,0.7,1500,816644008783,,67.3239,
400,0.7,400,920534130803,,0.157357,
500,0.7,500,654366121723,,0.586828,
600,0.7,600,799828626452,,1.60456,
700,0.7,700,481930198857,,7.31557,
800,0.7,800,650119359401,,13.0253,
900,0.7,900,852279475816,,17.0179,
1000,0.7,1000,892605177527,,26.6925,
1100,0.7,1100,648125941391,,28.6133,
1200,0.7,1200,815604089895,,42.1257,
1300,0.7,1300,270481854072,,43.5822,
1400,0.7,1400,23821532952,,57.067,
1500,0.7,1500,972956582567,,66.9493,
400,0.8,400,811896394511,,1.28922,
500,0.8,500,987017772406,,2.49755,
600,0.8,600,825145629041,,2.68609,
700,0.8,700,906107077700,,8.15834,
800,0.8,800,950787022451,,14.0324,
900,0.8,900,343576217464,,16.0148,
1000,0.8,1000,171595608055,,32.735,
1100,0.8,1100,830925217728,,40.7924,
1200,0.8,1200,539501341673,,48.6152,
1300,0.8,1300,811384907012,,68.3726,
1400,0.8,1400,252311508023,,95.3246,
1500,0.8,1500,858408813470,,88.3071,
400,0.8,400,219306797696,,0.544444,
500,0.8,500,895292640019,,2.17577,
600,0.8,600,237292835584,,3.35038,
700,0.8,700,712599557206,,9.10046,
800,0.8,800,33356172298,,17.2853,
900,0.8,900,492514983913,,19.3614,
1000,0.8,1000,152285975210,,27.9849,
1100,0.8,1100,940481508513,,40.7144,
1200,0.8,1200,379405804130,,48.1098,
1300,0.8,1300,616483743112,,65.252,
1400,0.8,1400,161655597481,,88.0299,
1500,0.8,1500,101199473800,,77.9556,
