n_vert,prob,range,seed,Dinic_time,EK_time,MPM_time
725,0.6,1320,65245,0.0133714,0.762954,0.0669284
750,0.1,1340,36025,0.004269,0.0764691,0.0184948
750,0.2,1360,56855,0.0039308,0.0552959,0.0150119
750,0.3,1380,14283,0.0111187,0.366422,0.0279687
750,0.4,1400,71363,0.0047094,0.292501,0.0247901
750,0.5,1420,21548,0.0099971,0.899157,0.0543069
750,0.6,1440,13455,0.0091799,1.34896,0.0635046
775,0.1,1460,46020,0.0019272,0.0170166,0.0075462
775,0.2,1460,36853,0.0087138,0.208073,0.0283634
775,0.3,1480,34281,0.0051064,0.194356,0.0300621
775,0.4,1500,41160,0.0055121,0.432758,0.039012
775,0.5,1520,21338,0.0132689,1.26513,0.0422977
775,0.6,1540,13211,0.0180199,3.83531,0.079296
825,0.1,1540,36034,0.0070591,0.0989149,0.0329577
825,0.2,1560,56453,0.0097667,0.219111,0.0288058
825,0.3,1580,14581,0.0070067,0.440629,0.021916
825,0.4,1580,76560,0.0125583,0.55629,0.0474144
825,0.5,1600,26368,0.0186109,1.52535,0.0625548
825,0.6,1620,13645,0.0152321,2.29262,0.048409
850,0.1,1640,36420,0.0061652,0.107617,0.0270599
850,0.2,1660,53653,0.0138568,0.522931,0.0358796
850,0.3,1680,12581,0.067507,1.01181,0.0609284
850,0.4,1700,73110,0.103399,3.46669,0.109007
850,0.5,1700,26248,0.0259535,2.04944,0.103495
850,0.6,1720,13245,0.0429125,6.51677,0.116393
875,0.1,1740,36020,0.00877,0.216881,0.0411735
875,0.2,1760,56853,0.0118037,0.13864,0.0435692
875,0.3,1760,14281,0.0140815,0.864571,0.0465811
875,0.4,1780,71160,0.0179644,1.67213,0.0767159
875,0.5,1800,21248,0.0658604,5.58617,0.191729
875,0.6,1820,13245,0.0146444,5.03381,0.146623
925,0.1,1840,36356,0.0042767,0.254055,0.0215569
925,0.2,1860,56865,0.021291,0.907401,0.0920381
925,0.3,1880,14876,0.0167277,1.38805,0.0449514
925,0.4,1900,71187,0.0203845,2.94276,0.0520388
925,0.5,1920,21578,0.052058,5.79988,0.134473
925,0.6,1920,15356,0.0180346,8.11181,0.145446
950,0.1,1920,36476,0.0088014,0.223611,0.0540226
950,0.2,1940,56476,0.0156633,0.507569,0.0325378
950,0.3,1960,14467,0.0150384,1.23709,0.0461749
950,0.4,1960,74760,0.0522159,5.691,0.139679
