n,p,r,s,Dinic,EK,MPM
9000,0.5,9000,676275579763,10.4935,,
9000,0.5,9000,522646506560,20.1068,,
10000,0.5,10000,193683698819,11.605,,
10000,0.5,10000,611708397599,19.2611,,
10000,0.5,10000,69802623241,46.7503,,
10000,0.5,10000,790334355101,9.83492,,
10000,0.5,10000,867588017136,10.8345,,
10000,0.5,10000,763200729536,16.0909,,
1000,0.6,1000,270410990416,0.136724,,
1000,0.6,1000,336789270229,0.0560211,,
1000,0.6,1000,384718515004,0.029828,,
1000,0.6,1000,597070390425,0.0468861,,
1000,0.6,1000,61687251706,0.0370245,,
1000,0.6,1000,694453234510,0.141631,,
2000,0.6,2000,273824491136,0.590628,,
2000,0.6,2000,724453896433,0.141766,,
2000,0.6,2000,572068529094,0.474672,,
2000,0.6,2000,537183288421,0.313746,,
2000,0.6,2000,831557288758,0.167851,,
2000,0.6,2000,850531370107,0.586148,,
3000,0.6,3000,82733302644,2.30589,,
3000,0.6,3000,914040963100,0.409778,,
3000,0.6,3000,104173680624,0.715084,,
3000,0.6,3000,191443400577,1.82517,,
3000,0.6,3000,889889441133,0.367046,,
3000,0.6,3000,977937098803,0.344309,,
4000,0.6,4000,566870258834,0.766546,,
4000,0.6,4000,792530378413,2.42549,,
4000,0.6,4000,550546778201,2.61581,,
4000,0.6,4000,907926797474,1.2718,,
4000,0.6,4000,920880039479,1.48884,,
4000,0.6,4000,941050561134,1.45229,,
5000,0.6,5000,35655711109,11.8314,,
5000,0.6,5000,89265260333,1.05615,,
5000,0.6,5000,355684669713,2.729,,
5000,0.6,5000,258899965036,1.70795,,
5000,0.6,5000,284743908015,2.42836,,
5000,0.6,5000,151305837272,1.2259,,
6000,0.6,6000,113554493577,11.9573,,
6000,0.6,6000,504821246457,5.76519,,
6000,0.6,6000,488295898882,5.68522,,
6000,0.6,6000,247723477883,5.98406,,
6000,0.6,6000,756404440988,6.77294,,
6000,0.6,6000,76598150741,1.39707,,
7000,0.6,7000,486276847173,2.57458,,
7000,0.6,7000,664982535092,14.5426,,
7000,0.6,7000,76717146481,4.05201,,
7000,0.6,7000,767730854205,6.50583,,
7000,0.6,7000,534186184858,2.47886,,
7000,0.6,7000,582484947683,6.22073,,
8000,0.6,8000,161916024762,13.5625,,
8000,0.6,8000,412870811413,12.6046,,
8000,0.6,8000,362720231596,10.4767,,
8000,0.6,8000,28325919718,13.5608,,
8000,0.6,8000,727261150261,4.12927,,
8000,0.6,8000,997717572026,30.3932,,
9000,0.6,9000,252313185304,4.12699,,
9000,0.6,9000,129715613581,11.8541,,
9000,0.6,9000,229052680320,14.8568,,
9000,0.6,9000,589477784162,13.022,,
9000,0.6,9000,687242298437,6.2568,,
9000,0.6,9000,356471545870,15.9142,,
10000,0.6,10000,808374836114,37.1764,,
10000,0.6,10000,722437102368,7.30903,,
10000,0.6,10000,734991015618,13.4398,,
10000,0.6,10000,85480826300,8.28097,,
10000,0.6,10000,803799528535,5.06632,,
10000,0.6,10000,603167682343,18.3552,,
1000,0.7,1000,907770463135,0.1023,,
1000,0.7,1000,151655283523,0.062853,,
1000,0.7,1000,460720124673,0.0579569,,
1000,0.7,1000,326679157738,0.171042,,
1000,0.7,1000,991659721002,0.0380878,,
1000,0.7,1000,931867676409,0.133946,,
2000,0.7,2000,900919429632,0.286276,,
2000,0.7,2000,474824380890,0.446966,,
2000,0.7,2000,684173196082,0.259092,,
2000,0.7,2000,579158068177,0.369594,,
2000,0.7,2000,732695636031,0.427653,,
2000,0.7,2000,904818934381,0.840757,,
3000,0.7,3000,203146787924,1.5213,,
3000,0.7,3000,968048570556,1.2703,,
3000,0.7,3000,380339372543,0.86267,,
3000,0.7,3000,255696286576,0.726372,,
3000,0.7,3000,879864283145,0.595978,,
3000,0.7,3000,347742924133,2.07295,,
4000,0.7,4000,459399874844,1.39832,,
4000,0.7,4000,126473945231,1.85697,,
4000,0.7,4000,762283948358,0.810866,,
4000,0.7,4000,262315057358,0.800961,,
4000,0.7,4000,729977599649,1.58039,,
4000,0.7,4000,345660365909,1.93382,,
5000,0.7,5000,550008341894,3.22345,,
5000,0.7,5000,30232447661,5.45143,,
5000,0.7,5000,504961206295,2.88681,,
5000,0.7,5000,82415809150,8.37014,,
5000,0.7,5000,295250293,0.808145,,
5000,0.7,5000,312900718478,1.40407,,
6000,0.7,6000,10615121281,2.75323,,
6000,0.7,6000,496467814094,1.99142,,
6000,0.7,6000,216022892645,8.83423,,
6000,0.7,6000,270579561259,2.62077,,
6000,0.7,6000,516062523492,4.94009,,
6000,0.7,6000,195281224030,5.74757,,
7000,0.7,7000,382725476978,3.55456,,
7000,0.7,7000,583007124847,12.7938,,
7000,0.7,7000,339050366450,2.93653,,
7000,0.7,7000,602135820728,4.7483,,
7000,0.7,7000,663514170527,3.87885,,
7000,0.7,7000,897085455130,6.26889,,
8000,0.7,8000,700376924383,5.33009,,
8000,0.7,8000,88838982809,6.80096,,
8000,0.7,8000,627776379645,13.5382,,
8000,0.7,8000,90167606896,16.4269,,
8000,0.7,8000,366338256790,5.51275,,
8000,0.7,8000,667850592888,11.0194,,
9000,0.7,9000,516640310015,31.0848,,
9000,0.7,9000,461886472486,14.9,,
9000,0.7,9000,101737604446,13.7835,,
9000,0.7,9000,436194236868,11.3335,,
9000,0.7,9000,483858831106,9.45106,,
9000,0.7,9000,813848588488,8.98338,,
10000,0.7,10000,595767543477,10.0532,,
10000,0.7,10000,343652790317,7.67472,,
10000,0.7,10000,230683608493,27.316,,
10000,0.7,10000,538134144575,33.0795,,
10000,0.7,10000,545568193434,29.0129,,
10000,0.7,10000,759205352262,21.7284,,
1000,0.8,1000,319240460437,0.104826,,
1000,0.8,1000,811730133913,0.132735,,
1000,0.8,1000,731636170698,0.0540601,,
1000,0.8,1000,349269097510,0.0587232,,
1000,0.8,1000,377966444410,0.0672203,,
1000,0.8,1000,537496465570,0.195231,,
2000,0.8,2000,744831358665,0.678367,,
2000,0.8,2000,994238008875,0.376259,,
2000,0.8,2000,655813824235,0.567733,,
2000,0.8,2000,742198906500,0.188341,,
2000,0.8,2000,882979146993,0.623482,,
2000,0.8,2000,60205570502,0.182587,,
3000,0.8,3000,248324177885,1.1728,,
3000,0.8,3000,563945549589,0.481395,,
3000,0.8,3000,480766521403,0.996201,,
3000,0.8,3000,962693637818,1.0664,,
3000,0.8,3000,272511989587,0.435331,,
3000,0.8,3000,829946612672,0.576933,,
4000,0.8,4000,970072555141,1.19686,,
4000,0.8,4000,176658974112,1.41753,,
4000,0.8,4000,410664886765,0.976259,,
4000,0.8,4000,735043808395,0.936714,,
4000,0.8,4000,176057892544,3.65667,,
4000,0.8,4000,131429494910,2.3693,,
5000,0.8,5000,972294531114,1.94157,,
5000,0.8,5000,728476480661,1.62707,,
5000,0.8,5000,963959746338,1.95812,,
5000,0.8,5000,8410976421,1.98862,,
5000,0.8,5000,549422549539,1.18529,,
5000,0.8,5000,691301165107,1.43528,,
6000,0.8,6000,792201180718,2.72376,,
6000,0.8,6000,50938148631,1.99495,,
6000,0.8,6000,349068413958,11.4352,,
6000,0.8,6000,4548047887,5.7802,,
6000,0.8,6000,987702431654,3.04601,,
6000,0.8,6000,15555588759,7.55799,,
7000,0.8,7000,700989180443,6.16967,,
7000,0.8,7000,514672045286,6.73403,,
7000,0.8,7000,388257548773,11.4472,,
7000,0.8,7000,136512139021,11.2948,,
7000,0.8,7000,279772424461,8.8216,,
7000,0.8,7000,82099577128,6.83227,,
8000,0.8,8000,795354948866,15.0098,,
8000,0.8,8000,856489683673,4.05492,,
8000,0.8,8000,90598739283,9.91437,,
8000,0.8,8000,870422823587,13.49,,
8000,0.8,8000,506164152184,9.79691,,
8000,0.8,8000,798037562064,3.12125,,
9000,0.8,9000,159134240378,3.07494,,
9000,0.8,9000,993136106941,38.0469,,
9000,0.8,9000,304647963352,5.06164,,
9000,0.8,9000,665271082776,11.9461,,
9000,0.8,9000,420838003409,27.0497,,
9000,0.8,9000,828381139394,12.9841,,
10000,0.8,10000,19183441964,7.34321,,
10000,0.8,10000,471285956278,9.22387,,
10000,0.8,10000,157683226958,9.24011,,
10000,0.8,10000,540217071444,37.8996,,
10000,0.8,10000,136341108434,8.65753,,
10000,0.8,10000,773740331316,12.9735,,
1000,0.9,1000,427205826817,0.047809,,
1000,0.9,1000,444295930817,0.0730078,,
1000,0.9,1000,34879563868,0.0875311,,
1000,0.9,1000,361328330344,0.0558337,,
1000,0.9,1000,727249325902,0.0279225,,
1000,0.9,1000,309460910088,0.0421371,,
2000,0.9,2000,894637022994,0.230048,,
2000,0.9,2000,822979085467,0.23011,,
2000,0.9,2000,980885725910,0.263912,,
2000,0.9,2000,264164868371,0.366122,,
2000,0.9,2000,232369700444,0.250331,,
2000,0.9,2000,351360350569,0.389358,,
3000,0.9,3000,477775657714,0.504722,,
3000,0.9,3000,935024824410,0.696691,,
3000,0.9,3000,520939224589,0.513751,,
3000,0.9,3000,635761443981,0.731706,,
3000,0.9,3000,771313866529,0.704197,,
3000,0.9,3000,983778778940,0.784957,,
4000,0.9,4000,656668703527,1.29374,,
4000,0.9,4000,653171826904,1.16964,,
4000,0.9,4000,445421873970,2.14736,,
4000,0.9,4000,108443376364,0.953709,,
4000,0.9,4000,370544603921,1.25605,,
4000,0.9,4000,477398889539,3.00682,,
5000,0.9,5000,501404914597,1.58073,,
5000,0.9,5000,516752633646,5.29929,,
5000,0.9,5000,408916172646,2.05084,,
5000,0.9,5000,451167239076,2.30354,,
5000,0.9,5000,580702349263,3.60521,,
5000,0.9,5000,222183025369,0.903222,,
6000,0.9,6000,168057545606,4.17915,,
6000,0.9,6000,605543385464,2.83779,,
6000,0.9,6000,249243291585,11.5587,,
6000,0.9,6000,651435932349,5.46607,,
6000,0.9,6000,126436328151,5.23167,,
6000,0.9,6000,680464256354,3.92976,,
7000,0.9,7000,857918929676,6.67704,,
7000,0.9,7000,696767834155,5.35024,,
7000,0.9,7000,978099564602,5.76906,,
7000,0.9,7000,459447425195,3.8537,,
7000,0.9,7000,152971334454,3.30228,,
7000,0.9,7000,575368312564,3.23643,,
8000,0.9,8000,184585574510,7.44466,,
8000,0.9,8000,476125460329,3.78685,,
8000,0.9,8000,633874950527,7.73832,,
8000,0.9,8000,389926428984,5.93278,,
8000,0.9,8000,411789422978,7.19865,,
8000,0.9,8000,528745128913,5.37837,,
9000,0.9,9000,27153669269,9.07305,,
9000,0.9,9000,336606260567,11.5315,,
9000,0.9,9000,916274194071,7.41482,,
9000,0.9,9000,465532469994,7.19846,,
9000,0.9,9000,348219130584,7.05081,,
9000,0.9,9000,528805652754,5.25952,,
10000,0.9,10000,704895342343,14.4528,,
10000,0.9,10000,379371930794,16.3655,,
10000,0.9,10000,232426728530,13.8082,,
10000,0.9,10000,836437435169,8.8338,,
10000,0.9,10000,309296073673,11.0208,,
10000,0.9,10000,546322476714,9.00525,,
